DATE,DAOPRC1A027NBEA
1933-01-01,0.178
1934-01-01,1.461
1935-01-01,1.953
1936-01-01,2.472
1937-01-01,2.587
1938-01-01,2.376
1939-01-01,2.432
1940-01-01,2.557
1941-01-01,2.962
1942-01-01,3.596
1943-01-01,3.994
1944-01-01,4.701
1945-01-01,5.091
1946-01-01,5.655
1947-01-01,5.928
1948-01-01,5.168
1949-01-01,5.007
1950-01-01,5.142
1951-01-01,5.146
1952-01-01,5.502
1953-01-01,5.602
1954-01-01,5.56
1955-01-01,5.685
1956-01-01,5.872
1957-01-01,5.908
1958-01-01,5.958
1959-01-01,6.356
1960-01-01,6.493
1961-01-01,6.569
1962-01-01,7.002
1963-01-01,7.285
1964-01-01,7.622
1965-01-01,7.947
1966-01-01,8.486
1967-01-01,8.853
1968-01-01,9.865
1969-01-01,11.014
1970-01-01,12.327
1971-01-01,13.785
1972-01-01,14.901
1973-01-01,16.009
1974-01-01,17.665
1975-01-01,19.234
1976-01-01,20.469
1977-01-01,22.065
1978-01-01,23.777
1979-01-01,26.773
1980-01-01,29.952
1981-01-01,32.442
1982-01-01,34.667
1983-01-01,36.805
1984-01-01,37.352
1985-01-01,39.696
1986-01-01,41.67
1987-01-01,41.762
1988-01-01,43.077
1989-01-01,45.256
1990-01-01,49.298
1991-01-01,50.858
1992-01-01,49.294
1993-01-01,50.537
1994-01-01,53.313
1995-01-01,55
1996-01-01,58.676
1997-01-01,61.598
1998-01-01,64.968
1999-01-01,70.235
2000-01-01,77.136
2001-01-01,81.489
2002-01-01,84.374
2003-01-01,85.728
2004-01-01,89.269
2005-01-01,92.551
2006-01-01,98.231
2007-01-01,102.215
2008-01-01,102.877
2009-01-01,103.434
2010-01-01,107.895
2011-01-01,110.123
2012-01-01,114.172
2013-01-01,115.227
2014-01-01,120.037
2015-01-01,125.449
2016-01-01,131.16
2017-01-01,136.075
2018-01-01,142.323
2019-01-01,147.17
2020-01-01,167.134
